Water Code ,Date Set,Time Set,Date Retrieved,Time Retrieved,Stratum,Stratum Wt.  ,Station,Latitude ,Longitude,Water Temp.,Water Vis.,Macrohabitat,Microhabitat,Gear Type,Mesh Size,Spp. Code,Length,Length Group,Number,Weight,Notes,,,,10052015,Lake Washington,LakeWashington,,,LakeWashington10052015_pg3
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,311,114,11,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,312,,,9,,55-90mm,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1397,82,8,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1306,135,13,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,255,25,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,289,28,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,255,25,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1409,256,25,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,334,33,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1409,137,13,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,227,22,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,243,24,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1758,268,26,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1395,154,15,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1397,146,14,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1410,181,18,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,1,33.03548,91.04156,67.6,,,,3,,1395,145,14,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,312,75,7,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,312,80,8,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1397,195,19,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1400,231,23,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,83,8,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,260,26,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,300,30,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,347,34,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,315,31,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,250,25,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,240,24,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,247,24,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,240,24,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,208,20,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,197,19,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,269,26,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,208,20,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,199,19,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,106,10,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,130,13,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,165,16,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,220,22,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,222,22,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,234,23,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,190,19,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,194,19,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,131,13,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,2,33.04145,91.04185,68.8,,,,3,,1410,90,9,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,237,23,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,190,19,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,265,26,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,302,30,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,312,31,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,230,23,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,299,29,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,220,22,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,290,29,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,315,31,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,295,29,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,285,28,1,,,,,,,,,,,
336,10/5/2015,,10/6/2015,,,,3,33.04584,91.04488,69,,,,5,,1410,260,26,1,,,,,,,,,,,
